"county","date","actual_cases"
"嘉義縣","2020-02-08",0
"屏東縣","2020-02-08",0
"澎湖縣","2020-02-08",0
"花蓮縣","2020-02-08",0
"台東縣","2020-02-08",0
"金門縣","2020-02-08",0
"連江縣","2020-02-08",0
"台北市","2020-02-09",7
"台中市","2020-02-09",2
"台南市","2020-02-09",1
"高雄市","2020-02-09",2
"基隆市","2020-02-09",0
"新竹市","2020-02-09",0
"嘉義市","2020-02-09",0
"新北市","2020-02-09",0
"桃園市","2020-02-09",1
"新竹縣","2020-02-09",0
"宜蘭縣","2020-02-09",1
"苗栗縣","2020-02-09",0
"彰化縣","2020-02-09",2
"南投縣","2020-02-09",2
"雲林縣","2020-02-09",0
"嘉義縣","2020-02-09",0
"屏東縣","2020-02-09",0
"澎湖縣","2020-02-09",0
"花蓮縣","2020-02-09",0
"台東縣","2020-02-09",0
"金門縣","2020-02-09",0
"連江縣","2020-02-09",0
"台北市","2020-02-10",7
"台中市","2020-02-10",2
"台南市","2020-02-10",1
"高雄市","2020-02-10",2
"基隆市","2020-02-10",0
"新竹市","2020-02-10",0
"嘉義市","2020-02-10",0
"新北市","2020-02-10",0
"桃園市","2020-02-10",1
"新竹縣","2020-02-10",0
"宜蘭縣","2020-02-10",1
"苗栗縣","2020-02-10",0
"彰化縣","2020-02-10",2
"南投縣","2020-02-10",2
"雲林縣","2020-02-10",0
"嘉義縣","2020-02-10",0
"屏東縣","2020-02-10",0
"澎湖縣","2020-02-10",0
"花蓮縣","2020-02-10",0
"台東縣","2020-02-10",0
"金門縣","2020-02-10",0
"連江縣","2020-02-10",0
"台北市","2020-02-11",7
"台中市","2020-02-11",2
"台南市","2020-02-11",1
"高雄市","2020-02-11",2
"基隆市","2020-02-11",0
"新竹市","2020-02-11",0
"嘉義市","2020-02-11",0
"新北市","2020-02-11",0
"桃園市","2020-02-11",1
"新竹縣","2020-02-11",0
"宜蘭縣","2020-02-11",1
"苗栗縣","2020-02-11",0
"彰化縣","2020-02-11",2
"南投縣","2020-02-11",2
"雲林縣","2020-02-11",0
"嘉義縣","2020-02-11",0
"屏東縣","2020-02-11",0
"澎湖縣","2020-02-11",0
"花蓮縣","2020-02-11",0
"台東縣","2020-02-11",0
"金門縣","2020-02-11",0
"連江縣","2020-02-11",0
"台北市","2020-02-12",7
"台中市","2020-02-12",2
"台南市","2020-02-12",1
"高雄市","2020-02-12",2
