"county","date","actual_cases","predict_cases","predict_cases_1","predict_cases_2","predict_cases_3","predict_cases_4","predict_cases_5","predict_cases_6"
"花蓮縣",2020-02-19,0,0,0,0,0,0,0,0
"台東縣",2020-02-19,0,0,0,0,0,0,0,0
"金門縣",2020-02-19,0,0,0,0,0,0,0,0
"連江縣",2020-02-19,0,0,0,0,0,0,0,0
"台北市",2020-02-20,7,7,7,7,7,7,7,7
"台中市",2020-02-20,2,2,2,2,2,2,2,2
"台南市",2020-02-20,1,1,1,1,1,1,1,1
"高雄市",2020-02-20,2,2,2,2,2,2,2,2
"基隆市",2020-02-20,0,0,0,0,0,0,0,0
"新竹市",2020-02-20,0,0,0,0,0,0,0,0
"嘉義市",2020-02-20,0,0,0,0,0,0,0,0
"新北市",2020-02-20,0,0,0,0,0,0,0,0
"桃園市",2020-02-20,1,1,1,1,1,1,1,1
"新竹縣",2020-02-20,0,0,0,0,0,0,0,0
"宜蘭縣",2020-02-20,1,1,1,1,1,1,1,1
"苗栗縣",2020-02-20,0,0,0,0,0,0,0,0
"彰化縣",2020-02-20,2,2,2,2,2,2,2,2
"南投縣",2020-02-20,2,2,2,2,2,2,2,2
"雲林縣",2020-02-20,0,0,0,0,0,0,0,0
"嘉義縣",2020-02-20,0,0,0,0,0,0,0,0
"屏東縣",2020-02-20,0,0,0,0,0,0,0,0
"澎湖縣",2020-02-20,0,0,0,0,0,0,0,0
"花蓮縣",2020-02-20,0,0,0,0,0,0,0,0
"台東縣",2020-02-20,0,0,0,0,0,0,0,0
"金門縣",2020-02-20,0,0,0,0,0,0,0,0
"連江縣",2020-02-20,0,0,0,0,0,0,0,0
"台北市",2020-02-21,7,7,7,7,7,7,7,7
"台中市",2020-02-21,4,5.19,6.37,7.54,8.7,9.84,10.98,12.11
"台南市",2020-02-21,1,1,1,1,1,1,1,1
"高雄市",2020-02-21,2,2,2,2,2,2,2,2
"基隆市",2020-02-21,0,0,0,0,0,0,0,0
"新竹市",2020-02-21,0,0,0,0,0,0,0,0
"嘉義市",2020-02-21,0,0,0,0,0,0,0,0
"新北市",2020-02-21,3,4.79,6.57,8.34,10.1,11.85,13.59,15.31
"桃園市",2020-02-21,1,1,1,1,1,1,1,1
"新竹縣",2020-02-21,0,0,0,0,0,0,0,0
"宜蘭縣",2020-02-21,1,1,1,1,1,1,1,1
"苗栗縣",2020-02-21,0,0,0,0,0,0,0,0
"彰化縣",2020-02-21,5,6.79,8.57,10.34,12.1,13.85,15.59,17.31
"南投縣",2020-02-21,2,2,2,2,2,2,2,2
"雲林縣",2020-02-21,0,0,0,0,0,0,0,0
"嘉義縣",2020-02-21,0,0,0,0,0,0,0,0
"屏東縣",2020-02-21,0,0,0,0,0,0,0,0
"澎湖縣",2020-02-21,0,0,0,0,0,0,0,0
